No.,location
1,52427
2,56697
3,67251
4,5527
5,7196
6,5682
7,6504
8,7534
9,4872
10,6015
11,11943
12,25849
13,16083
14,17007
15,16782
16,17121
17,17108
18,17085
19,6241
20,7178
21,6019
22,6576
23,8582
24,4474
25,5563
26,5833
27,4288
28,3209
29,4264
30,4266
31,5883
32,4755
33,6146
34,3703
35,5866
36,5239
37,18505
38,22026
39,16367
40,17454
41,17412
42,12287
43,19389
44,18781
45,26285
46,22976
47,24034
48,5988
49,5370
50,5226
51,9322
52,4720
53,4028
54,5915
55,20926
56,23979
57,16004
58,12248
59,35729
60,35727
61,35727
62,22833
63,22924
64,43825
65,8823
66,7987
67,6251
68,6509
69,8489
70,52654
71,52600
72,52818
73,69401
74,12698
75,13694
76,130957
77,127017
78,110341
79,116222
80,131443
81,116226
82,128564
83,116229
84,35741
85,35871
86,67976
87,24159
88,53693
89,114323
90,124666
91,123500
92,119387
93,52418
94,5527
95,7535
96,17106
97,6022
98,3494
99,3523
100,18504
101,17454
102,19309
103,4721
104,37053
105,35728
106,43865
107,8823
108,116226
109,52419
110,56722
111,46658
112,5528
113,7196
114,5684
115,6505
116,7172
117,4875
118,6012
119,11944
120,21466
121,16032
122,17012
123,16721
124,17096
125,17096
126,17082
127,6240
128,7238
129,6020
130,6626
131,8679
132,4516
133,5563
134,5808
135,4195
136,3303
137,4575
138,4143
139,5819
140,4749
141,6194
142,3550
143,5834
144,6598
145,14873
146,14873
147,16367
148,17572
149,17382
150,12255
151,14913
152,18775
153,26252
154,26376
155,26304
156,5988
157,5325
158,5232
159,9311
160,4721
161,4002
162,5915
163,20927
164,11162
165,16003
166,12200
167,35821
168,35821
169,35821
170,22834
171,31489
172,39033
173,8823
174,7971
175,8823
176,6508
177,8490
178,52691
179,52605
180,52824
181,72353
182,12654
183,13620
184,130961
185,116230
186,110258
187,116229
188,116229
189,116229
190,128632
191,116229
192,35743
193,35782
194,68007
195,53653
196,49648
197,114230
198,124395
199,91802
200,91802
201,17000
202,35005
203,38287
204,14958
205,28951
206,25423
207,26950
208,27974
209,26938
210,92129
211,56892
212,14213
213,127308
214,40952
215,106565
216,274829
217,272133
218,277966
219,275594
220,250904
221,163576
222,91634
223,132837
224,92907
225,143147
226,123157
227,29256
228,34749
229,38662
230,39270
231,47553
232,57693
233,88201
234,80421
235,97085
236,62976
237,90098
238,51717
239,190037
240,240030
241,250000
242,148381
243,134566
244,104610
245,139173
246,195553
247,55458
248,4196
249,5715
250,9942
